text,category
Tree fell on footpath nobody cleared it for days,tree_hazard
Coconut tree leaning on building wall dangerously,tree_hazard
Tree stump left on footpath tripping pedestrians,tree_hazard
Road surface completely worn out needs relaying,road_damage
Footpath tiles broken pedestrians walking on road,road_damage
Divider damaged on highway causing accidents,road_damage
Speed breaker broken and dangerous for vehicles,road_damage
Road marking faded creating confusion for drivers,road_damage
Retaining wall collapsed blocking half the road,road_damage
Bridge railing broken over culvert near village,road_damage
Road edge collapsed due to soil erosion,road_damage
Footpath encroached by vendors pedestrians at risk,road_damage
Median strip broken vehicles making illegal U-turns,road_damage
Road shoulder collapsed creating dangerous drop,road_damage
Pavement caved in near construction site,road_damage
Speed breaker not painted causing night accidents,road_damage
Road dividers missing on dangerous curve section,road_damage
Newly laid road already cracking within a month,road_damage
Footpath railing broken pedestrians falling on road,road_damage
Road barrier damaged vehicles going into wrong lane,road_damage
Broken kerb stones on footpath injuring pedestrians,road_damage
Road surface undulation causing vehicle damage,road_damage
Overhead bridge surface cracked structural concern,road_damage
Traffic island broken vehicles cutting through it,road_damage
Road near flyover pillar base eroding,road_damage
Cement road slab broken near junction,road_damage
Guard rail on curve missing accident waiting to happen,road_damage
Road subsidence near building construction site,road_damage
Footpath blocked by illegally parked vehicles,road_damage
Divider plants overgrown blocking road view,road_damage
Road caving in near storm drain slowly,road_damage
Pedestrian crossing zebra lines completely faded,road_damage
Road delineators missing on national highway curve,road_damage
Concrete slab on bridge cracked water seeping through,road_damage
Bus bay damaged buses stopping on main road,road_damage
Footpath gradient wrong causing water pooling,road_damage
Road hump painted poorly invisible to motorcyclists,road_damage
Pavement blocks on footpath loose and rocking,road_damage
Road edge erosion near river bank needs repair,road_damage
Concrete barrier on median broken exposed rebar,road_damage
Road surface bulging due to underground gas pressure,road_damage
Stop line marking on road completely worn away,road_damage
Footpath raised unevenly causing accidents,road_damage
Road near market dug up and not properly restored,road_damage
Steep road without speed bumps vehicles speeding,road_damage
Road divider plants dead making median look bad,road_damage
Cycle track on road broken and unusable,road_damage
Road shoulder graveled section causing dust,road_damage
Bridge approach road damaged heavy vehicles causing it,road_damage
Road edge metal guard rail rusted and broken,road_damage
Road repair done poorly patchwork already failing,road_damage
Pedestrian ramp on footpath broken wheelchair users affected,road_damage
Road marking for parking bay completely invisible,road_damage
Public toilet near bus stand locked and unusable,public_toilet
No water supply in public toilet for weeks,public_toilet
Public toilet extremely dirty and unhygienic,public_toilet
Toilet block near market has broken doors,public_toilet
No public toilet in our ward women suffering,public_toilet
Sulabh toilet not maintained foul smell everywhere,public_toilet
Community toilet lights not working unsafe at night,public_toilet
Open defecation happening due to no toilet facility,public_toilet
Toilet for differently abled persons not accessible,public_toilet
Pay and use toilet collecting money but not clean,public_toilet
Public urinal overflowing creating hygiene hazard,public_toilet
Toilet constructed but drainage not connected,public_toilet
No sanitation worker assigned to clean public toilet,public_toilet
Toilet facility near school demolished not rebuilt,public_toilet
Women toilet missing in public park,public_toilet
Community toilet taps broken no water available,public_toilet
Public toilet floor broken tiles cut feet,public_toilet
Toilet used by drug addicts at night unsafe,public_toilet
Mobile toilet van not visiting construction workers area,public_toilet
Sanitation worker not cleaning toilet daily,public_toilet
Public toilet door lock broken no privacy,public_toilet
Toilet near temple in very poor condition,public_toilet
No dustbin inside public toilet waste on floor,public_toilet
Public toilet roof leaking during rains unusable,public_toilet
Urinal blocks clogged public toilet unusable,public_toilet
Toilet near railway station always locked,public_toilet
Soap and sanitizer never provided in public toilet,public_toilet
Community toilet smells unbearable residents complaining,public_toilet
Toilet caretaker absent toilet in terrible state,public_toilet
Toilet near hospital emergency for patients,public_toilet
Public toilet mirror broken glass shards inside,public_toilet
Toilet for school children not cleaned by corporation,public_toilet
Automatic toilet not functioning for a month,public_toilet
Septic tank of public toilet full needs emptying,public_toilet
Toilet near crematorium not maintained,public_toilet
Ventilation in public toilet poor causing smell,public_toilet
Public toilet built but inauguration pending years,public_toilet
No toilet for daily wage workers at construction site nearby,public_toilet
Toilet near bus terminal vandalized by miscreants,public_toilet
Toilet seat broken in public facility,public_toilet
Public urinal stench affecting nearby shops,public_toilet
Community toilet water connection disconnected,public_toilet
Toilet near lake area in pathetic condition,public_toilet
Public restroom flooded due to blocked drain,public_toilet
No toilet paper or hand wash available,public_toilet
Toilet facility at night market completely dirty,public_toilet
Public toilet electrical wiring exposed dangerous,public_toilet
Toilet near garden locked after 6pm,public_toilet
Women toilet in public park broken lock,public_toilet
Toilet attendant demanding extra money from users,public_toilet
Loudspeaker blaring from temple all night disturbing sleep,noise_pollution
Construction work going on after 10pm violating norms,noise_pollution
DJ sound from wedding hall disturbing hospital patients,noise_pollution
Factory running machinery at night causing noise,noise_pollution
Bar and restaurant playing loud music past midnight,noise_pollution
Generator noise from commercial building all day,noise_pollution
Political rally using multiple loudspeakers without permission,noise_pollution
Honking vehicles near school during exam time,noise_pollution
Drilling work near hospital violating noise rules,noise_pollution
Crackers being burst late at night disturbing residents,noise_pollution
Grinding mill running at night in residential area,noise_pollution
Loud music from pub violating noise pollution norms,noise_pollution
Truck horns near school during examination hours,noise_pollution
Compressor noise from AC unit of hotel disturbing neighbors,noise_pollution
Event organizers using high decibel speakers near hospital,noise_pollution
Mosque loudspeaker at 4am disturbing residents sleep,noise_pollution
Club music audible till 3am in residential area,noise_pollution
Rock crusher plant operating near homes creating noise,noise_pollution
Train horn noise excessive near residential colony,noise_pollution
Firecrackers during wedding in residential area at 1am,noise_pollution
Diesel generator running outside residential flat noise,noise_pollution
Garbage collection vehicle horn at 5am waking residents,noise_pollution
Protest rally with loudspeakers outside hospital,noise_pollution
Road roller and paving machine working at midnight,noise_pollution
Amplified music from political office all day,noise_pollution
School near highway excessive traffic noise affecting studies,noise_pollution
Airport noise pollution increasing affecting nearby area,noise_pollution
Construction pile driving noise shaking nearby buildings,noise_pollution
Loud announcement system at market disturbing residents,noise_pollution
Mobile shop playing loud music attracting crowd noise,noise_pollution
Fireworks factory testing explosives disturbing area,noise_pollution
Pub installed outdoor speakers residential area affected,noise_pollution
Auto rickshaws honking continuously at traffic signal,noise_pollution
Function hall music audible kilometers away,noise_pollution
Hospital next to construction site patients affected,noise_pollution
Noise from textile weaving units in residential zone,noise_pollution
Music rehearsal studio noise disturbing neighbors,noise_pollution
Sand grinding unit near homes creating noise dust,noise_pollution
Political party office using speakers without permission,noise_pollution
Loud temple festival going on for 10 days,noise_pollution
Residential area near bus depot engine noise all night,noise_pollution
School exam disrupted by construction noise nearby,noise_pollution
Loud music from rooftop party in apartment building,noise_pollution
Noise from cold storage compressors running 24x7,noise_pollution
Marriage band playing at 2am disturbing entire locality,noise_pollution
Circus noise disturbing neighborhood for a week,noise_pollution
Retail shop with outdoor speakers till late night,noise_pollution
Noisy exhaust from modified bikes near residential area,noise_pollution
Garbage vehicle reversing beep sound at 4am,noise_pollution
Function at ground near hospital playing loud music,noise_pollution
Stray dogs attacking pedestrians near market,other
Illegal construction blocking public road,other
Encroachment on footpath by shops,other
No drinking water supply in our area for days,other
Electric wire hanging low over road dangerously,other
Mosquito breeding in stagnant water near colony,other
Public park in very poor condition no maintenance,other
Unauthorized parking blocking emergency vehicle access,other
Bus stop shelter broken passengers exposed to rain,other
Traffic signal not working causing accidents at junction,other
Waterlogging in low lying area after every rain,other
Graffiti and vandalism on public property walls,other
Stagnant water breeding mosquitoes causing dengue,other
Encroachment on lake bund destroying water body,other
Unauthorized billboard fallen on footpath,other
Stray cattle on highway causing traffic accidents,other
Illegal encroachment on government land near park,other
Traffic signal timer not working vehicles confused,other
Hawkers blocking footpath pedestrians walking on road,other
No bus service on our route since schedule change,other
Broken benches in public park need replacement,other
Electricity meter reading not done for months,other
Government land being encroached for construction,other
Stray dog menace in our colony biting children,other
Power cut every day for hours no reason given,other
Park equipment for children broken dangerous,other
Illegal vehicle parking on divider strip,other
Public water fountain in park not working,other
Garden lights in park all broken no maintenance,other
Cable TV wire hanging low over road,other
Pigeons menace at public building causing mess,other
Water supply tanker not coming regularly,other
Transformer humming loudly near residential building,other
Bus route diverted without information to public,other
Manhole location unmarked vehicles falling in,other
Illegal banner and hoarding on public property,other
No signboard at road junction causing confusion,other
Abandoned vehicle on road for weeks,other
Footpath occupied by auto stand passengers struggling,other
Tree plantation area converted to parking illegally,other
Old building wall cracked danger to pedestrians,other
CCTV camera in area not working for months,other
Public telephone booth vandalized not repaired,other
Fire hydrant blocked by unauthorized construction,other
Road divider plants dried up no watering done,other
Mosquito fogging not done in our ward this season,other
Unauthorized commercial activity in residential zone,other
No ramp for wheelchair access at government office,other
Street vendor blocking emergency vehicle access,other
Pirated cable running through public property,other
